KEGG_ID, PubChem_ID
C07458, 5333
C01965, 5578
C01609
C11307, 22324
C14397, 6
C08052, 2762
C00413, 19649
C11262, 9444
C01848, 5459948
C05684, 1090
C06268
C00023, 23925
C14715, 2723
C02635, 439772
C08171, 23690429
C01925, 3659
C07665, 2761171
C13728, 1727
C12540, 5332
C10956, 21330
C11261, 1639
C06906, 2726
D01959, 16129878
C06900
C08102, 23665731
C06883, 44187
C13505, 656644
C07481, 2519
C01716, 3825
C12853, 27200
D01531, 153398
C06837, 2265
C07318, 5344
C02575, 992
D00358, 3676
C15235, 24814
C02077, 5196
D01426, 5479
C06840, 9568617
C12059, 5564
C10107, 5281672
C11736, 5790
C02499, 7017
C10387, 10205
C12662, 5282165
C01424, 370
C05851, 323
C02496, 1493
C06902, 9552079
C09315, 5281426
C10438, 444539
C01692, 3117
C06747, 4784
C10368, 6755
C02010, 439625
C01023, 6602480
D00809, 11065
C01555, 6710735
D01653, 26964
C07935, 4601
C07386
D00798, 66062
C01479, 174174
C11181, 7099
C05349, 2764
C11167
C08039, 3598
C06624, 5280972
D02064, 165542
C14438, 8606
C06572, 11953884
C07755, 24584
C01784, 2332
C06685, 6197
C00586, 439268
C05697, 1089
C00177, 5975
C00180, 243
C07420, 4735
C00757, 2353
C07054, 3767
C08142, 5235
C06911, 441203
C06917, 1548955
D00323, 3366
C01588, 3672
C07625, 2719
