smiles,synergy
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,5.108
CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,5.306
CC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c1nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c1C)C(O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@]1(C)O[C@@H]1OC(CO)[C@H](O)[C@](O)(C(N)=O)[C@H]1O)c1cnc[nH]1)C(=O)NCCC1=NC(c2nc(C(N)=O)cs2)CS1,5.453
CC1=CC(=O)c2ccccc2C1=O,5.603
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.O=S(=O)(O)O,5.614
[N-]=[N+]=[N-].[Na+],5.789
CCCCc1ccc(C(=O)O)nc1,5.867
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,5.933
O=[As](O)(O)O,6.179
CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,6.239
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],6.281
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-],6.321
O=[Si]([O-])[O-].[Na+].[Na+],6.526
CCCCC(CC)C/N=C(\N)N/C(N)=N/CCCCCC/N=C(\N)N/C(N)=N/CC(CC)CCCC,6.537
OCC(O)CS,6.627
CC(C)C1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC(=O)[C@@H](C(C)C)NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)NC(=O)[C@H](C)OC1=O,6.717
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,6.735
O=[As][O-].[Na+],6.804
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1.[Na+],6.809
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)[O-])[C@H]3SC2)cc1.[Na+],6.926
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,7.043
NC(=N\CCCCCC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1)/N=C(\N)Nc1ccc(Cl)cc1,7.192
CC(C)c1nc2nc(N)nc(N)c2nc1C(C)C,7.327
O=[W](=O)([O-])[O-].[Na+].[Na+],7.367
C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],7.376
Oc1c(Cl)cc(Cl)c2cccnc12,7.385
CS(=O)(=O)O.OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1,7.497
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,7.528
NO,7.557
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,7.596
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],7.729
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],7.744
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,7.783
Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,7.816
CC(C)NCC(O)COc1cccc2ccccc12.Cl,7.962
CCCCCCCCCCCC[N+](C)(C)C.[Br-],7.998
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,8.02
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,8.033
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,8.055
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,8.098
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,8.127
CCC(C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@@H](CC(C)C)NC(=O)C(CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,8.129
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,8.238
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,8.305
Nc1ccc2cc3ccc(N)cc3nc2c1,8.375
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21.O.O.O,8.43
O=NO,8.493
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,8.503
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,8.519
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,8.64
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,8.651
Cc1ccccc1C(OCCN(C)C)c1ccccc1,8.693
[131Cs+].[Cl-],8.775
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,8.813
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,9.019
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],9.14
[Cl-].c1ccc(-c2nn(-c3ccccc3)[n+](-c3cccc4ccccc34)n2)cc1,9.156
O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+],9.263
O=C(O)c1[nH]c(=O)[nH]c(=O)c1F,9.367
Oc1c(I)cc(Cl)c2cccnc12,9.587
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,9.668
CCN1CCN(C(=O)N[C@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.[Na+],9.802
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,10.123
Nc1ccncc1,10.525
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,10.597
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,10.851
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,10.884
COc1ccc(C[C@H](N)C(=O)NC2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1,10.926
CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCN)NC1=O)[C@@H](C)O,11.172
O=[Te]([O-])[O-].[K+].[K+],11.255
COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,11.284
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,11.332
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,11.448
CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,11.549
C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,11.562
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,11.895
Cc1nccc2c1[nH]c1ccccc12,12.04
O=C1C=C2C(=CCOC2O)O1,12.129
Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,12.47
Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1cnc[nH]1,12.537
Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,12.642
Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,12.757
O=P(O)(O)OP(=O)(O)O,13.272
CCCCCCCCCCCCCCCC[n+]1ccccc1.O.[Cl-],13.392
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,13.495
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,13.71
C[n+]1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)C[N+]4=NN=NC4)[C@H]3SC2)s1,14.255
CCN(CC)CCOC(=O)c1ccc(N)cc1,14.622
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,14.746
N#CO,15.055
CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,15.282
N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,15.471
NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,15.695
C/C=C/C=C/C(=O)O,16.441
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,17.406
Cc1cc(O)cc(C)c1Cl,18.773
O=C([O-])CN(CCOCCOCCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+],19.215
CC1=CC(=O)c2c(O)cccc2C1=O,19.708
CN(C)C(=O)/N=N/C(=O)N(C)C,22.505
