smiles,synergy
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,-1.554
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,-1.5319999999999998
[Na+].[O-][Br+2]([O-])[O-],-1.415
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-1.3019999999999998
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-1.296
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1.117
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-1.0290000000000001
NCCCCC(N)C(=O)O,-0.9309999999999999
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,-0.8079999999999999
[Cd+2],-0.7709999999999999
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-0.46799999999999997
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,-0.40299999999999997
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,-0.33299999999999996
O.S=c1nc[nH]c2nc[nH]c12,-0.045
CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)C(CC(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CCN)NC1=O)C(C)O,-0.011000000000000001
O=[V]([O-])([O-])[O-].[Na+].[Na+].[Na+],-0.002
O=[V](=O)[O-].[Na+],0.017
[Co],0.025
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21.[Cl-].[Cl-],0.063
O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,0.10300000000000001
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O.CN(C)C1C(=O)C(=C(O)NCN2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,0.212
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21.[Na+],0.223
O=[Se]([O-])[O-],0.25
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,0.311
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0.49
O=c1[nH]cc(F)c(=O)[nH]1,0.544
O=S(=O)(F)Cc1ccccc1,0.84
CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,0.847
[Zn],1.158
COC1C(OC(N)=O)C(O)C(Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C,1.182
O=C(O)c1cc(O)c(O)c(O)c1,1.4340000000000002
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1.48
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,1.5190000000000001
Cc1ncc([N+](=O)[O-])n1CC(O)CCl,1.585
O=[N+]([O-])c1ncc[nH]1,1.587
O=C(O)CI,1.949
N#CC(C#N)=NNc1cccc(Cl)c1,1.996
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[K+],2.035
CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC,2.131
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,2.1719999999999997
Cl[TlH2],2.399
CNC1C(OC2OC(CO)C(N)C(O)C2O)OC2CC(N)C(OC3C(N)CC(N)C(O)C3O)OC2C1O,2.45
